County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Dent County,MO,15.3,14421
Denton County,TX,45.1,906422
Denver County,CO,49.4,715522
Des Moines County,IA,20.1,38910
Deschutes County,OR,35.4,198253
Desha County,AR,14.1,11395
Deuel County,NE,15.9,1838
Deuel County,SD,22.2,4295
Dewey County,OK,24,4484
Dewey County,SD,16.6,5239
Dickens County,TX,18.5,1770
Dickenson County,VA,10.7,14124
Dickey County,ND,28.8,4999
Dickinson County,IA,33.6,17703
Dickinson County,KS,22.9,18402
Dickinson County,MI,25.7,25947
Dickson County,TN,16.2,54315
Dillingham Census Area,AK,22.1,4857
Dillon County,SC,11.1,28292
Dimmit County,TX,13.6,8615
Dinwiddie County,VA,18.6,27947
District of Columbia,DC,58.5,689545
Divide County,ND,18.5,2195
Dixie County,FL,10.4,16759
Dixon County,NE,21.2,5606
Doddridge County,WV,17.1,7808
Dodge County,GA,14.3,19925
Dodge County,MN,25.7,20867
Dodge County,NE,19,37167
Dodge County,WI,17,89396
Dolores County,CO,24.1,2326
Doniphan County,KS,21.1,7510
Donley County,TX,17.9,3258
Dooly County,GA,12.1,11208
Door County,WI,33.7,30066
Dorchester County,MD,21.2,32531
Dorchester County,SC,28.2,161540
Dougherty County,GA,21.4,85790
Douglas County,CO,58,357978
Douglas County,GA,28.2,144237
Douglas County,IL,18.9,19740
Douglas County,KS,49.6,118785
Douglas County,MN,26,39006
Douglas County,MO,10.8,11578
Douglas County,NE,39.7,584526
Douglas County,NV,29.4,49488
Douglas County,OR,17.3,111201
Douglas County,SD,15.5,2835
Douglas County,WA,20.5,42938
Douglas County,WI,24.1,44295
Dona Ana County,NM,27.1,219561
Drew County,AR,22.8,17350
DuPage County,IL,49.4,932877
Dubois County,IN,23.7,43637
Dubuque County,IA,30.8,99266
Duchesne County,UT,14.7,19596
Dukes County,MA,44.9,20600
Dundy County,NE,23.3,1654
Dunklin County,MO,13.8,28283
Dunn County,ND,21.3,4095
Dunn County,WI,27.9,45440
Duplin County,NC,12.1,48715
Durham County,NC,48.2,324833
Dutchess County,NY,35,295911
Duval County,FL,30,995567
Duval County,TX,9,9831
Dyer County,TN,16.1,36801
Eagle County,CO,47.2,55731
Early County,GA,15.1,10854
East Baton Rouge Parish,LA,34.9,456781
East Carroll Parish,LA,8.9,7459
East Feliciana Parish,LA,12.7,19539
Eastland County,TX,16,17725
Eaton County,MI,27.8,109175
Eau Claire County,WI,32.3,105710
Echols County,GA,9.7,3697
Ector County,TX,15.4,165171
Eddy County,ND,26.2,2347
Eddy County,NM,16.2,62314
Edgar County,IL,17.2,16866
Edgecombe County,NC,13.6,48900
Edgefield County,SC,16.7,25657
Edmonson County,KY,10.3,12126
Edmunds County,SD,26.3,3986
Edwards County,IL,13.9,6245
Edwards County,KS,18.1,2907
Edwards County,TX,18.2,1422
Effingham County,GA,20,64769
Effingham County,IL,22.7,34668
El Dorado County,CA,34.3,191185
El Paso County,CO,38.5,730395
El Paso County,TX,23.3,865657
Elbert County,CO,35.8,26062
Elbert County,GA,11.6,19637
Elk County,KS,15.6,2483
Elk County,PA,19.6,30990
Elkhart County,IN,19.8,207047
Elko County,NV,16.6,53702
Elliott County,KY,9.7,7354
Ellis County,KS,36.3,28934
